Country,ReportedLocation,Period,TotalTotal,DisplType
#country+name,#adm1+name,#date+bin,#affected+displaced,#affected+type
Nigeria,Zamfara,2015-08-31,,idp
Nigeria,Zamfara,2015-10-31,,idp
Nigeria,Zamfara,2015-12-31,44929.0,idp
Nigeria,Zamfara,2016-02-29,46856.0,idp
Nigeria,Zamfara,2016-04-30,47540.0,idp
Nigeria,Zamfara,2016-06-30,47959.0,idp
Nigeria,Zamfara,2016-08-31,47959.0,idp
Cameroon,Extrême-Nord,2015-02-28,,refugee
Cameroon,Extrême-Nord,2015-04-30,,refugee
Cameroon,Extrême-Nord,2015-06-30,,refugee
Cameroon,Extrême-Nord,2015-08-31,61366.0,refugee
Cameroon,Extrême-Nord,2015-10-31,64715.0,refugee
Cameroon,Extrême-Nord,2015-12-31,64715.0,refugee
Cameroon,Extrême-Nord,2016-02-29,64715.0,refugee
Cameroon,Extrême-Nord,2016-04-30,64715.0,refugee
Cameroon,Extrême-Nord,2016-06-30,65089.0,refugee
Cameroon,Extrême-Nord,2016-08-31,65741.0,refugee
Chad,Lac,2015-02-28,,refugee
Chad,Lac,2015-04-30,18502.0,refugee
Chad,Lac,2015-06-30,13384.0,refugee
Chad,Lac,2015-08-31,13742.0,refugee
Chad,Lac,2015-10-31,13742.0,refugee
Chad,Lac,2015-12-31,13742.0,refugee
Chad,Lac,2016-02-29,13742.0,refugee
Chad,Lac,2016-04-30,13742.0,refugee
Chad,Lac,2016-06-30,13742.0,refugee
Chad,Lac,2016-08-31,13742.0,refugee
Chad,Mayo-Kebbi Est,2015-02-28,,refugee
Chad,Mayo-Kebbi Est,2015-04-30,1080.0,refugee
Chad,Mayo-Kebbi Est,2015-06-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-08-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-10-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2015-12-31,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-02-29,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-04-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-06-30,1334.0,refugee
Chad,Mayo-Kebbi Est,2016-08-31,1334.0,refugee
Niger,Diffa,2015-02-28,63941.0,refugee
Niger,Diffa,2015-04-30,63941.0,refugee
Niger,Diffa,2015-06-30,63941.0,refugee
Niger,Diffa,2015-08-31,63941.0,refugee
Niger,Diffa,2015-10-31,94152.0,refugee
Niger,Diffa,2015-12-31,93343.0,refugee
Niger,Diffa,2016-02-29,97744.0,refugee
Niger,Diffa,2016-04-30,97744.0,refugee
Niger,Diffa,2016-06-30,82524.0,refugee
Niger,Diffa,2016-08-31,82524.0,refugee
